trade_number,date,time,account,symbol,direction,entry,exit_price,stop,target,exit_reason,al_strength,al_touches,al_age,al_tier,sl_quality,sl_touches,sl_age,sl_tier,sl_price,grade,session,yellow_levels,confirmations,notes,pnl
90,2026-04-30,22:35,A2,MGC,short,4574,4602,4602,4400,stop,standard,3,<1day,Tertiary,weak,2,<1wk,Tertiary,4602,aminus,Pre-mkt,4600,"AL crossed,Yellow S/R cleared,SL identified,Open space",I took this trade because there was monthy resistance at 4600 it did looks like rejected hence I entered unfortunately it did not work out. It is the Tritary SL probably I should avoid tritary SL's going forward those are not reliable. it hit my stop loss over night.,-280
92,2026-04-30,09:46,A1,MGC,short,4630,,4662,4552,open,standard,2,<1wk,,strong,4,1wk+,,4662,a,Open,4642/4600,"AL crossed,Yellow S/R cleared,SL identified",We have secondary SL has 4-5 touches with more than week worth of data hence I took this trade as it is grade A. ,
91,2026-04-30,08:40,A2,MGC,short,4638,,4662,4546,open,standard,2,<1day,Primary,strong,4,1wk+,Primary,4663,a,Pre-open,4642/4600,"AL crossed,SL identified,Yellow S/R cleared","I did take this trade because we have strong secondary SL, trade is still open. ",
89,2026-04-29,07:18,A1,MGC,short,4582.3,4629,4629,4400,stop,standard,2,1wk+,Secondary,weak,2,<1wk,Tertiary,4629,aminus,Pre-open,,,"Instead of looking at 1H chart I was on 4H chart, but entered after AL break with 2 touches, one of the touch was recent that should be ok as long as I have SL identified. In this case, we had triatary SL with 2 touch points as the safetly line. It did go in my favor and I was up like $550 but my target was way below closed to 4400 price point so it did reverse and hit my stop loss I waited patiently, but stop loss got hit for a loss. Should I closed eary as per my strategy I should have as the descending line was crossed then loss would have been less. I should do that next time.",-467
88,2026-04-28,21:04,A1,MGC,short,4595,4613,4625,4402,manual,standard,2,<1day,Tertiary,weak,2,<1wk,Tertiary,,aminus,Pre-mkt,4600,"AL crossed,SL identified",It was a Titiary SL at 9:00 PM I saw solidy push down hence I took the short trade but due to monthl 4600 support probably it is going to hold and push up. I closed it manually around 10:28 PM EST. I lost $175 that is OK. I tried it it did not work. Probably I should avoid Tritary SL line trade..,-180
87,2026-04-24,13:24,A2,MGC,short,4740.4,4650,4761,4650,target,standard,3,<1day,Tertiary,strong,2,1wk+,Secondary,4761,aminus,Mid-sess,,"AL crossed,SL identified","I did a good job in waiting patiently for AL to cross and we had strong secondary SL in addition we have primary HTF SL as well so that build the confidence. one thing I did very well I did not panic and waitied for my target to hit  I did not take emotional decision when trade was going against me, it did go against me but held from 4/24 to 4/28 which is greae patience and descipline.",904
86,2026-04-24,09:24,A1,MGC,short,4708.2,4649,4765,4649,target,standard,2,<1day,Tertiary,strong,4,1wk+,Secondary,4741,a,Open,,SL identified,"Although this hit the target, I still think I should have waited clear AL cross I did not wait for, also SL was very good but it did break I should have exited but this was a seconday SL ,the primary SL has HTF is still down hence I waited before trade hit the stop. Overall trend was Down hence I gave little wiggle room for stop loss. But it worked. ",592
85,2026-04-23,11:18,A1,MGC,long,4757.5,4695.7,4695.7,4840,stop,standard,4,<1wk,Secondary,weak,2,1wk+,Secondary,,aminus,Mid-sess,,"AL crossed,SL identified",SL has recent second touch point like less than a day it had the touch point may be I should not consider that as strong floor. AL had 2 touch points almost 5 days worth of data. ,-618
84,2026-04-23,11:06,A2,MNQ,long,27107,26809,26809,,manual,standard,2,<1day,Primary,weak,3,1wk+,Secondary,26944,aminus,Mid-sess,26891,"AL crossed,SL identified,Open space",it is pretty much the buying after major resistance broken hence I bought it. one of the issue with this trade is I removed my stop loss and try to close it manually as sometime MnQ wicks it and goes back up. And another thing I am noticing as SL has 3rd touched the same day that means it is not valid and to avoid it.  Look at the picture,-596
83,2026-04-22,10:12,A2,MNQ,long,26940,26868.25,26868.25,27290,stop,standard,3,<1wk,,strong,3,1wk+,,,a,Open,26291,"AL crossed,SL identified,Yellow S/R cleared,Open space",it was mainly major all time resitance cleared with three touch points hence I entered but I was up like $200 but I was looking for 1:2 R:R but it did not hit and reversed it and hit my stop loss,-143.5
82,2026-04-22,07:44,A1,MGC,short,4767.6,4726,4781,4730,manual,standard,2,<1day,,weak,2,<1wk,,,aminus,Pre-open,,"AL crossed,SL identified,Yellow S/R cleared",There was a HTF Descending red line primary SL and then there is secondary SL with 2 touches and 3 days worth of data hence I had a confidence to take this trade. I exited manually because it was getting late in the deadzone I did nto want to risk hence closed manaully around 22:14 EST,416
81,2026-04-21,11:22,A1,MGC,short,4774,4730,4826,4636,manual,standard,2,1wk+,,weak,4,<1wk,,4824,aminus,Mid-sess,,"AL crossed,SL identified,Open space","There was a Weeky HTF red descending line above my SL so I am using the seconday SL not the primary, although I did not enter right after AL break as I was in an appt, but I entered when it retested the AL line. I manually existed because of some resistance at the bottom 4727 and Iran war news is so volatile. Even in this trade price went lower around 4687 but I already closed due to fear of losing it. ",440
80,2026-04-20,13:22,A2,MNQ,long,26712,26822,26547,27032,manual,standard,2,<1day,,strong,3,1wk+,,26545,a,Mid-sess,,"AL crossed,SL identified,Open space,Yellow S/R cleared","it is due to Iran news, it was slow price action. solid SL with more than 3 touches with more than week worth of data. ",220
79,2026-04-17,11:44,A1,MGC,short,4880,4856,4914,4821,manual,standard,1,<1day,,weak,3,1wk+,,4914,a,Mid-sess,4900,"AL crossed,Yellow S/R cleared,SL identified","In this case, there was a major resistance weekly resitance 4900 and it was acting as resitance hence i took this short trade. AL was 1 touch less than a day but SL had major 46 days and 2 touches. As it was friday I need to close due to Iran news for a profit. ",240
78,2026-04-17,10:42,A2,MNQ,long,26835,26797,26549,27104,manual,standard,1,<1day,,weak,2,<1wk,,26519,aminus,Open,,"AL crossed,SL identified,Open space",This trade more of a FOMA trade I felt I missed the trade and I was not infront of my computer placed it through my phone while I was in the office. AL had 1 touch less than 1 hour old and SL line had 2 touches 3 days but that would have been $650 loss so as it became slow I closed it for loss of $85. It is a bad trade I was expecting it will keep going due to Iran news but it slowed down exited manually,-76
77,2026-04-16,11:32,A2,MNQ,long,26501,26386,26386,26803,stop,standard,,<1wk,,weak,2,<1wk,,26386,aminus,Mid-sess,26400/26300,"AL crossed,Yellow S/R cleared,SL identified,Open space",Reason I stopped out it is because it has 0 AL touches and crossed a major month resitance and SL has 2 touches with 3 days. that is why it did not work.,-230
76,2026-04-15,10:08,A2,MNQ,long,26068,26287,25944,26287,target,standard,4,1wk+,,weak,3,<1wk,,25967,aminus,Open,26000/26300/26400,"AL crossed,Open space,SL identified,Yellow S/R cleared",AL had more than week worth of data and 4 touches and yellow line cleared as well. My concern was SL was only 2 days so I was not confident but I kept the stop loss low to take this trade. It worked,438
73,2026-04-14,21:34,A2,MNQ,short,25574,25627,25627,25200,stop,standard,2,<1day,,weak,3,1wk+,,,a,Pre-mkt,25200/25500,"AL crossed,SL identified","It did have AL 2 touches but SL has 3 touches but 3 touch is on the same day, probably that is the issue. 3 rd touch should not be onthe same day.  Also it is overnight trade.",-106
74,2026-04-14,10:04,A2,MNQ,long,25726,25887,25560,25887,target,standard,4,1wk+,,weak,2,<1wk,,25594,aminus,Open,25500/25900/26000,"AL crossed,SL identified",AL crossed with more than week worth of data but SL has less than week with 2 touches. I was hesitant to pull the trigger but as stop loss was low I took it.,322
75,2026-04-14,09:54,A1,MGC,long,4823.3,4863.9,4785,4886,manual,standard,4,1wk+,,weak,3,<1wk,,4772,a,Open,4900,"AL crossed,SL identified,Open space",AL had 4 touch point more than week worth of data. But SL is 3 touches less than week I was not confident but still I took it as I had seen marketing moving due to Iran war,406
72,2026-04-13,11:14,A1,MNQ,short,25331,25400,25400,25200,stop,standard,2,<1day,,strong,3,1wk+,,,aminus,Mid-sess,,"AL crossed,SL identified",HTF Read descending line was above as SL strong hence I took the trade but hit the stop loss,-138
71,2026-04-09,14:10,A2,MNQ,short,25170.75,25283,25283,24963,stop,standard,,,Primary,strong,,,Primary,,aminus,Mid-sess,,,AL not crossed — entered on weekly resistance only. No trigger.,-224.5
